Content,Expertise
"François-Xavier ROBICHET Senior Counsel Structure division François-Xavier Robichet is specialised in tax law (national and international tax, executive, expatriates and non-residents taxation, tax litigation and control, specific solution and applications approval, negociation with the DVNI et DGE …), incentive, group restructuring (including transnational mergers), family property (including cross-border issues). He notably works with major industrial and retailing Groups along with international clients such as major African Groups.   Education 1983 International tax law DESS – University Paris 12 1981 Business Law Maîtrise and a Diploma from the Centre d’étude des Communautés Européennes – University Paris 1 1981 Certification from the Académie de Droit International de La Haye (private and public law)  – University Paris 1   Languages  French – English  ",['tax law']
"Hermien VAN DER VYNCKT Avocat Operations Division Hermien van der Vynckt is mainly involved in matters relating to intellectual property (trademarks, patents, designs and copyrights) and information and communication technologies (computer law, internet-related matters, data protection, etc.), both in advice and litigation. He joined De Gaulle Fleurance & Associés in 2016 and has developed a special knowledge of issues regarding anti-counterfeiting programs (software, on-line sale) as well as the audiovisual and media sector.   Education Member of the Paris Bar since 2017 2014 Postgraduate degree (Master II) in Industrial Property Law, Paris-II University 2013 Postgraduate degree (Master II) in Business Law, Paris-Dauphine University (M214) 2012 Graduated from Paris-Dauphine University (Law and Management)   Langages  French – English  ","['technologies', 'media', 'intellectual property', 'litigation']"
"Marie-Mathilde DELDICQUE Senior Associate Operations Division Marie-Mathilde is specialised in Intellectual and Industrial Property and in Information Technology notably in copyrights, media, trademarks, patents, new technologies, e-trade and consumption, both in advice and litigation.   Education Member of the New-York (March 2010) and the Paris Bar (November 2011). 2011 Master Degree in Intellectual Property (University Panthéon-Assas) 2009 Bilingual European Law Master Degree (University Paris Ouest Nanterre-La Défense) 2009 Master of Law in general legal studies (New-Yok University Scool of Law)   Language French – English.  ","['media', 'information technology', 'technologies', 'litigation']"
"Marie VAUTHERIN Associate Structure Division Marie is specialised in Social law, notably in collective and individual employment relations, both in counsel and litigation.     Education She is a member of Paris bar since 2013 2008 Degree in French and Spanish Law (University Paris X, Nanterre) 2009 Master Degree in Private Law – Criminal Sciences (University Rey Juan Carlos, Madrid, Erasmus program) 2010 Professional Master Degree in Multimedia and Information Technology (University Paris II Panthéon-Assas)   Languages French -Spanish – English  ","['employment', 'litigation']"
"Béatrice FLEURIS Partner Operation Division Béatrice Fleuris joins De Gaulle Fleurance & Associés, as Partner, to develop activities in the air, maritime, road and rail transport sector. Her renowned expertise in domestic and international issues led her to advise transport players (manufacturers and suppliers, airport managers, logistics and transport operators) and actors from others sectors facing issues related to transport (industrial groups and companies dealing with products logistics, leaders transportation…), as well as insurers, reinsurers and financial institutions. She advises large corporations and companies in their pre-litigation and litigation procedures related to complex cases of commercial litigation, product liability, and claims regarding transported people and goods. She also acts as a counsel  in regulatory, commercial and finance issues – notably in the acquisition, sale and financing contracts of ships, aircrafts and other vehicles.   Education Member of the Paris Bar since 2003 2001 LLM in Commercial Law from the University College of Dublin 1999 Postgraduate degree (DESS) in International Business Law from the University of Toulouse 1 1998 Undergraduate degree (Maitrise) in International Business Law from the University of Paris I Panthéon Sorbonne   Languages French – English   Recent Publication   Données personnelles : quels outils réglementaires ?, TEC, n°237, April 2018, co-authored with Cécile Théard-Jallu The Digitalisation of the Maritime industry: Perspectives and key legal challenges for improved efficiency, co-authored by Béatrice Fleuris and Cécile Théard-Jallu, Geostrategic Maritime Review, Spring Summer ediditon 2017, l’Harmattan  ","['financing', 'commercial', 'litigation', 'pre-litigation']"
"Nadia CHEBBI Associate Structure Division Nadia Chebbi  is specialized in project finance in the natural resources, energy and infrastructure sectors. She also intervenes in public-private partnerships (PPPs).   Education Nadia is member of the Tunisian Bar since 2008. 2014 Masters of Laws, Duke University School of Law, Durham, USA 2007 Master Degree in International Economic Law, University Paris Panthéon Sorbonne 2005 Law Degree, Legal, Political and Social Sciences University, Tunis, Tunisia   Languages French – English – Arabic  ","['natural resources', 'project finance']"
"Stéphanie CHRETIEN Associate Structure division Stéphanie Chrétien is specialized in real estate law, notably in commercial leases, both for lenders and arrangers, in contract and corporate law, as well in counsel as in litigation. Stéphanie is teaching private law since 2011 at Paris Panthéon I University Law.   Education Stéphanie is a member of Paris bar since 2010. 2013 Mediator degree 2010 Professional Master degree in international law 2008 State doctorate degree in Private Law 2001 DEA in General Private law 2000 Master degree in Business law 1999 Degree in Business Law   Languages French – English  ","['corporate', 'litigation', 'contract', 'real estate law', 'real estate', 'commercial']"
"Joyce VALENCIA Associate Operations Division Joyce Valencia focuses her practice in Life Sciences, mainly in Healthcare Law.   Education 2010 Master Degree in Healthcare law, François Rabelais University, Tours 2012 Degree on « Globalisation et gouvernance : bonnes pratiques dans l’espace Ibéro-américain » from the International University of Menéndez Pelayo in Madrid 2012  Certificate of Mastery  in descriptive statistics from BerkeleyX online University   Languages French – English – Spanish  ",['healthcare law']
"François-Baptiste CROCE Associate Structure Division François-Baptiste Croce intervenes in real estate law, notably on transactions and investments, planning, développent and construction issues, and real estate project finance.   Education Master 2 Gestion du Patrimoine privé et professionnel, Panthéon-Assas University Master 1 droit privé, Panthéon-Assas University   Languages English – French  ","['real estate law', 'real estate', 'project finance']"
"Anne KUHANATHAN Associate Structure Division Anne Kuhanathan specialises in business law, notably in Corporate, M&A and Private Equity. She intervenes on  issues related to companies daily legal follow-up and also on complex sale/restructuring.   Education 2013 Master 2 Recherche Droit des Affaires et de l’Economie (Paris 1 Panthéon Sorbonne) 2012 Master 1 Droit des Affaires (Cergy Pontoise University)   Languages French – English  ",['business law']
"Coline Baharéh DASSANT Of Counsel Structure Division As Of Counsel for De Gaulle Fleurance & Associés, Coline Baharéh Dassant combines legal experience and knowledge of Iran. First specialized in litigation, real estate and construction law, Coline extended her practice on advising international companies willing to invest in the Iranian market. She also offers her understanding of the cultural and linguistic environment of the country.   Education Member of the Paris Bar since 2008 2008     Master’s degree in Trade Law, Paris-V University 2004     Post graduate degree (DESS) in International Business Law, Paris-V University 2003     MBA training courses, University of Texas, Austin   Languages French – English – Persian   Publications « Quel horizon pour l’Iran après les accords de Viennes » in la Tribune, 17th august 2015 « L’énergie solaire : nouvelle perle du Qatar » in Revue des CCE International N°541, 1st december 2008    ","['real estate', 'litigation']"
"Gabriela MIHAESCU Associate Operations Division Gabriela Mihaescu is specialised in International Law, Arbitration and Litigation.   Formation 2015 LL.M. in International Business and Economic Law, Georgetown University, Washington 2013 Master 2 in International Business Law, Paris Sud University, Sceaux 2012 Master 1  in International Business Law,  Paris 1 University, Panthéon-Sorbonne 2011 Law Degree  Strasbourg and Paris Universities Juily 2011 Cornell Law School of Paris 1 – International Arbitration   Languages Romanian, French, English and Spanish.  ","['business law', 'litigation', 'business', 'arbitration']"
"Morgane Poppe Associate Operations Division Morgane Poppe mainly intervenes in intellectual property, technologies and personal datas.   Formation She is member of the Brussels Bar. 2017 LL.M. Intellectual Property & ICT law, KUL (Katholieke Universiteit Leuven campus de Bruxelles) 2014  Master Degree in Law, UCL 2014 Transnational Law certificate, Geneva University 2010 Bachelor in Information & Communication, ULB   Languages French - English - Dutch - Spanish  ","['technologies', 'intellectual property']"
Pierre-Adrien DUBROCA Associate Operations Division Pierre-Adrien Dubroca mainly intervenes in Public Law.   Education Master degree Droit du Développement Durable (Paris V University – Descartes) Master degree Comptabilité Conseil Audit (ESG Management School) Master Droit Public de l’Economie (Paris II University – Panthéon Assas)   Languages English – French – Spanish  ,['public law']
"Laura ERBERTSEDER Associate Structure Division Laura Ebersteder specialises in Labour Law. She mainly intervenes in individual and collective labour relations, in counsel and in litigation.   Education She is a member of the Paris bar since 2013. 2010 Master degree in-house counsel / labour relations from Tours University 2009 Master in labour Law from Paris II Panthéon Assas University 2008 Degree  in labour Law from Paris II Panthéon Assas University   Languages English – German    ",['labour law']
France HONG Associate Structure Division France Hong intervenes in Banking & Finance and  Capital Market.   Education She is a member of Paris bar since 2012. 2010 Master Degree in Private Law (Business and companies Law) from Lyon III Jean-Moulin University 2008 Degree in Private Law from  Pierre Mendès France University in Grenoble   Languages French – English    ,['capital market']
Daniel HATZAKORTZIAN Associate Structure Division Daniel Hatzakortzian mainly intervenes in Tax Law.   Education 2010 Mastère Spécialisé Management and International Law (HEC Paris) 2009 Master degree In-house counsel (Cergy-Pontoise University) 2007 Master I Business Law (Paris II)   Languages French – English  ,"['tax law', 'tax']"
"Thomas VASEUX Associate Operations Division Thomas Vaseux mainly intervenes in Public Law. He notably handles public contract issues with a focus on public procurement contracts (service concession, public markets) both in counsel and in litigation. He is a lecturer at Paris I Panthéon-Sorbonne University in public services and company law (since 2013) and in contract and public market law (since 2015).   Education Thomas Vaseux is a member of the Paris bar since 2014. 2012 Professional Master Degree Professionnel in Public Litigation (Paris I) 2011 Research Master Degree in Public Economic Law (Paris I) 2010 Degree in General Public Law (Paris I)   Languages French – English   Publications « Doute sérieux sur la légalité du procédé du tirage au sort pour l’admission en première année de licence à l’université», JCP A, October 16 2017 « Chronique droit des produits de santé : bilan 2015 », LPA, joint article, August 8 2016 « La sélection en Master est illégale pour le Conseil d’Etat », JCP A, February 22 2016 « La légalité de la sélection des étudiants en Master 2 devant le juge du référé-suspension », JCP A, October 26 2015 « Les mentions relativesde la durée dans les pièces constitutives du marché », ACCP, February 2015, in partnership with Hervé Letellier  ","['public law', 'contract', 'litigation']"
"Estelle POIZAT Trademarks Paralegal Operations Division Estelle Poizat is mainly involved in Intellectual Property matters (trademarks, designs & models, domain names). She is notably in charge of the trademarks portfolio management, protection and defence, in France and abroad.   Education 2014 Degree in trademarks and designs & models law, Strasbourg CEIPI 2011 Degree in International Trade, Poitier IAE 2008 Master degree in tax law, Paris XII 2007 Master in Business law, Paris I   Languages French – English.  ",['intellectual property']
"Yoann USSEGLIO Senior Associate Structue Division Yoann Usseglio mainly intervenes in matters relating to mergers & acquisition, securities law and corporate law.   Education He is a member of the Paris Bar since 2013. 2010 Master Degree in Business Law (Mergers & Acquisitions, Financing), Evry University 2009 LL.M. in International Business Law from Anglia Ruskin University – Cambridge/UK   Languages French – English.  ",['corporate']
"Marie-Charlotte BAILLY Senior Manager Structure Division Marie-Charlotte Bailly mainly intervenes in tax law, for French and international companies. Marie Charlotte is a member of the Institut des Avocats Conseils Fiscaux (IACF).   Education She is member of the Paris bar since 2008 2005 Master degree in Business Law  – Tax (Jean-Moulin Lyon III University) 2004 Degree in Business Law (Jean-Moulin Lyon III University)   Languages French – English  ","['tax law', 'tax']"
"Aurore SOUVERAIN Associate Structure division Aurore Souverain is mainly involved in Real Estate and Litigation.   Education She is a member of Paris bar since 2016. 2014 English for Law Program (New South Wales University, Sydney) 2012 Master Degree in Business Litigation (Paris I University Panthéon Sorbonne in partnership with ESCP Europe) 2011 Master Degree in Business Law (Paris Est Creteil University)   Languages French – English  ",['real estate']
"Malick NIANG Associate Structure Division Malick Niang mainly intervenes in Finance, in particular in project finance, Islamic finance and energy.   Education 2013 Master Degree in International Business from University of Burgundy 2011 – 2012 Master and a degree in Business Law from Strasbourg University   Languages French, English and Wolof.  ",['project finance']
"Linda AMMAR Associate Structure Division Linda Ammar mainly intervenes in contract, corporate, commercial law and in project finance, as well in counsel as in litigation, in France and abroad. She handles cases from various sectors such as new technologies, transportation and energy. She is experienced regarding the international economic and financial sanctions-related issues, including regarding Iran.   Education Linda Ammar is member of Paris and New York Bars. 2008 Master of Laws International Business Law, Louisiana State University (USA) 2007 Master degree Tax and Business Law (DJCE),  Jean Moulin Lyon III University 2006 Degree in European Law, University of Manchester (UK)   Languages French – English – Basic knowledge of Spanish and German  ","['corporate', 'litigation', 'contract', 'technologies', 'project finance', 'commercial', 'commercial law']"
"Ruchdi MAALOUF Solicitor Structure Division Ruchdi Maalouf chairs the oil & gas practice at De Gaulle Fleurance & Associés. He is qualified in England & Wales. He trained and specialised in oil & gas at a top tier City firm in London. He worked in London, Tokyo, Seoul, Singapore and Moscow. He also spent a year on a legal secondment at a major North Asian LNG importer. In addition to his legal experience, Ruchdi Maalouf was involved in LNG projects in a commercial capacity, as an LNG seller with an export project in Russia, and as head of LNG supply with an import project in Pakistan (where he also acted as head of legal). Ruchdi’s practice also involves international arbitration, both ad hoc and institutional (LCIA, ICC, ICSID, etc.) with a particular focus on energy disputes. Ruchdi Maalouf is a frequent speaker in industry events and publishes regularly on the gas industry and oil & gas law.   Education Member of the law society of England & Wales 1997 LL.M., SOAS University of London 1995 Maîtrise en Droit européen, Université de Paris I,  Panthéon-Sorbonne   Publications The essential evolution of LNG trading—moving to GTCs, The Journal of World Energy Law & Business, 24 September 2018  ","['commercial', 'arbitration']"
"Philippe MONCORPS Partner Operation Division Philippe Moncorps, Partner since 2017, supports our practice in the media and new technologies sectors. An expert in audiovisual transformations (content production and protection, advertising models and brand content challenges, etc.), he has expanded his practice to other sectors that are also facing accelerated digitization issues. He provides his services as an advisor and in litigation, on cases involving intellectual property law, media law, audiovisual and film production law and regulation, as well as in commercial and criminal law. He started his career as a lawyer, practicing for 14 years in the Cabinet Louis Bousquet (1992–2006) on litigation cases for the entire TF1 Group, particularly in the areas of media law and intellectual property. He then joined TF1 Group as Director of Legal and Regulatory Affairs, reporting to the Secretary General (2006–2010) and then Legal Director of Information and Judicial Affairs, reporting to the Legal Director of TF1 Group (2011–2017).   Education Philippe Moncorps is member of the Paris Bar since 1992 1990 Master of European Community Law (Rennes 1 University) 1989 Graduate of the Institute of Public Business Law (a joint training program with the Faculty of Law of Sceaux Jean Monnet, Paris Sud University / Barreau de Paris) 1988 Master of Public Law (Paris 1)   Languages French – English  ","['litigation', 'media', 'property law', 'criminal law', 'technologies', 'intellectual property', 'intellectual property law', 'commercial', 'media law']"
"Florence DUVAL Structure Division Florence Duval Florence Duval mainly intervenes in corporate, M&A and commercial contracts. For almost ten years, she developed her knowledge in the energy sector, in France an abroad, in national and cross-border deals.   Education 2004 DEA in Public Law (Paris XIII) 2002 Master degree in international business and management (ESSEC) 2001 DESS in European Business Law (Paris V René Descartes) 2000 Degree in Business Law and Tax (Paris II – Assas)   Languages French, English and Spanish.  ","['corporate', 'commercial']"
"Nina Gosse Associate Operation Division Nina Gosse is mainly involved in matters relating to literary and artistic property, industrial property, and information and communication technologies (digital economy, audiovisual, media, telecoms, etc.). Nina Gosse’s practice encompasses litigation and advising. She also supports clients on issues related to innovation, personal data (member of the French “AFCDP”), health, and public and regulatory affairs. She has an experience as a legal and public affairs consultant for the audiovisual and digital industries (August 2014-December 2016).   Education 2014 Magistère’s degree in Intellectual Property and New Technologies (Poitiers) 2013 Research Master’s Degree in Intellectual Property (University of Cambridge) 2012 Graduated from the University Paris- Sorbonne (ENS Cachan D1 economics, law and management).   Languages French – English   Publications – Interviews Peut-on détruire une œuvre d’art ?, Besoin de rien envie de droit, Binge Audio, November 2018 Intelligence Artificielle : quels enjeux juridiques pour contractualiser ?, Lex Talk, November 2018 Les six points de vigilance pour contractualiser autour de l’intelligence artificielle, co-written with Cécile Théard-Jallu, mind Health, September 2018 Entertainment industry: prospective use of blockchain for IP protection and smart contracts and potential set up of new networks, co-written with Charles-Edouard Renault, International Bar Association, September 2018 Enforcing the GDPR in the healthcare sector: a blended approach between European and national laws, co-written with Cécile Théard-Jallu, International Bar Association, September 2018 How to process health personal data under French law after 25 May 2018, co-written with Cécile Théard-Jallu, International Bar Association, September 2018 Data protection & cyber security: How to improve while securing information technology engineering?, co-written with Georgie Courtois and Béatrice Fleuris, April 2018 Entrée en vigueur du RGDP le 25 mai « 2018 : Keep calm and prepare for RGPD », January 16  2018 Unlocking the value of health data: implementation of a new ‘National Register of Health Data’ in France, co-authored, Healthcare and Life Sciences Committee News of the Legal Practice Division of the International Bar Association (Vol 2, No 1), Septembre 2017 Actu DSM – La propriété de la donnée au cœur des débats, site De Gaulle Fleurance & Associés, Septembre 2017, co-authored with Jean-Sébastien Mariez  The Digitalisation of the Maritime industry: Perspectives and key legal challenges for improved efficiency, July 2017, co-authored with Béatrice Fleuris and Cécile Théard-Jallu Rapport France IA, ministère de l’économie et des finances, Sous-groupe 3.2.B : Enjeux juridiques, March 2017 “Quelle image de l’avocat dans les médias ?”, Dalloz Avocats, April 2015    ","['media', 'technologies', 'litigation']"
"Noémie SIVADIER Paralegal Operations Division Noémie is mainly involved in matters relating to software anti-piracy and cyber criminality.   Education 2010 Master I degree in private law, Paris 12 University   Languages  French-English  ","['cyber criminality', 'software anti-piracy']"
"Dora TALVARD Associate Operations Division Dora Talvard mainly deals with pharmaceutical, health, patent and intellectual property law. Regarding health, research and innovation, her activity notably consists in contracts drafting and negotiation, as well as advising clients on regulation and data privacy.  She is also active in intellectual property litigation (patent, trademark, designs and copyright law). Before joining De Gaulle Fleurance & Associés, she worked five years in a boutique firm dedicated to patent litigation; she was involved more particularly in pharmaceutical and life sciences litigations, notably concerning supplementary protection certificates. Dora Talvard is involved in the works of the International Association for the Protection of Intellectual Property (AIPPI).   Education Dora Talvard  is a member of the Paris Bar since 2013. Ongoing post-graduate course (Master 2) in pharmaceutical and health law 2009 Post-graduate degree (Master 2) in intellectual property law from the Centre for International Intellectual Property Studies (CEIPI), University of Strasbourg 2008 Master 1 degree in international law at University Paris I Panthéon-Sorbonne   Languages French – English – Hungarian   Publications Patent Enforcement Worldwide, co-author , edited by Christopher Heath and published by Hart Publishing (2015) Patent Protection for Second Medical Uses, co-author , published by Wolters Kluwer, AIPPI Series (2016).  ","['intellectual property law', 'property law', 'intellectual property', 'litigation']"
"Thierry TITONE Partner Operations Division   Thierry Titone advises corporate clients on the organization of their activities, from procurement to the release for consumption of products and services. He specializes in relations between the industrial and distribution sectors and in the development of networks in France and abroad (e-commerce, franchise, selective network, etc.). He handles as well anticompetitive cases (advice, compliance and litigation), restrictive competition practices, and merger control in support of M&A teams. He has written numerous articles and recently co-authored a book on risk management, standards and product compliance. He is also a lecturer, notably for the DJCE – Diplôme de Juriste Conseil d’Entreprise, Certificate of Specialization in Distribution Law at the Centre du Droit de l’Entreprise in Montpellier. Before becoming an attorney, he was a legal expert for the Elf (Total) Group for 9 years.   Education Attorney registered with the Paris bar since 2000 2001 Master’s Degree in Management, ESSEC Business School 1991 DEA – Diplôme d’Etudes Approfondies in Economic Law, University of Orléans   Publications Formulaires ProActa, Le Lamy Droit Economique – Edition 2018, co-authored, October 2018 Le Lamy Droit Economique – Edition 2018, Partie 4, co-authored, June 2018 Les réseaux de distribution sélective et Internet, co-authored, L’Argus de l’Enseigne, N°54, April 2018 L’expiration du règlement d’exemption par catégorie dans le secteur des assurances : l’assurance d’une concurrence ?, co-authored, Lamy Concurrence, June 2017 La grande distribution : terrain privilégié de la publicité comparative innovante, co-authored, RLDA, April 2017 Est-ce la fin du débat sur la vente d’ordinateurs avec logiciels préinstallés ?, co-authored, RLDA, December 2016 L’introduction d’un droit des « réseaux de distribution commerciale » par la loi Macron, co-authored, Lamy Concurrence, January 2016 Distribution et concurrence en outre-mer ou comment les entreprises sont incitées, par l’Autorité de la concurrence, à recourir à des mécanismes d’autorégulation, Lamy concurrence, co-authored, December 2015 Principaux enjeux juridiques du e-commerce, Finances et Gestion, October 2015 Annonces de réduction de prix : nouveau régime et opportunités pour les professionnels, co-authored, RLDA, June 2015 Contrat de distribution sélective et exclusive à l’international : Les clauses essentielles, co-authored, Dalloz AJ Contrats d’Affaires, June 2015 Relations Industrie-Commerce : synthèse des enjeux juridiques au cours de la négociation commerciale, co-authored, Lamy Concurrence, January 2014 Première définition jurisprudentielle de la notion de déséquilibre significatif dans les relations professionnelles, co-authored, RLDA, April 2012 Les obligations de non-concurrence à l’issue du contrat de distribution, Jurisprudence Auto, April 2012 La publicité comparative et les pratiques déloyales dans le secteur automobile, co-authored, Jurisprudence Auto, April 2012 Rappel produit : l’anticipation est nécessaire, co-authored, Relation Client, April 2012   Books Lamy Droit Economique depuis 2015 Formulaire Commenté Lamy Droit Economique depuis 2011 Risques produits – Manager les risques juridiques et les responsabilités, Lamy Conformité   Interviews La réforme du droit des contrats et ses principaux enjeux pour les entreprises, Les Matinales de KPMG, avril 2016 Nul acheteur n’est censé ignorer la loi, La lettre des achats, janvier 2016   Teaching Lecturer at the Faculty of Law and Political Science of Montpellier, as part of the DJCE Certificate of Specialized Studies in Economic Law, on the theme of Industry/Commerce relations Lecturer at Toulouse Business School, as part of the Master’s degree in legal management, on the themes of Compliance, Governance, Standards and Product Regulation.   Languages French-English    ","['corporate', 'litigation']"
"Roxane CHANALET-QUERCY Associate Operations Division Roxane Chanalet-Quercy is a counselor and litigator in the fields of competition law (anti-competitive practices, restrictive competition practices, merger laws), contract law, distribution law (unfair competition, unlawful termination of business relations) and consumer protection. Her prior experience as a legal expert in the agribusiness sector enables her to assist her firm’s clients in the everyday management of their business activities (pricing practices, negotiations and commercial relationships). She also advises the firm’s clients on compliance (competition, anti-bribery, products).   Education   Attorney registered with the Paris bar since 2016   2013      Masters 2 in European Union Law – International and European Business Law, University of Strasbourg 2012      Lawyer-Linguist Diploma, Institut Supérieur d’Interprétariat et de Traduction, Paris   Publications « Les réseaux de distribution sélective et Internet », co-authored, L’Argus de l’Enseigne – N°54 – April 2018   Languages French-English-Spanish    ","['commercial', 'contract', 'competition law', 'business']"
"Julie CORNELY Senior Counsel Structure Division Julie Cornely mainly intervenes in Mergers and Acquisitions. She notably handles high-end transactions cases either for external growth (acquisitions, securities or assets sales), joint ventures or securities issuance. She also intervenes in transactions such as group restructuring, spin-offs or national and cross-border mergers.  Julie mainly assists international clients, notably in the biomedical, mass retail and luxury industries as well as in the services and energy industries.   Education Member of the Lille bar between 2004 and 2008 and member of the Paris bar since 2008. 2002 Master of Laws in International Business Law from the Louisiana State University (L.S.U.) 2001 DEA in Common Law from Paris II University – Panthéon Assas 2000 Postgraduate degree in Private Law – Legal profession from Paris II University – Panthéon Assas   Languages French – English   Publications Share Buy-Back Programs in Times of Economic Downturn: The French Perspective, co-authored with Anker Sorensen, International Corporate Rescue, 2017 L’obligation d’information, source d’incertitudes dans les nouveaux contrats, co-authored with Marc Fredj, L’AgefiHebdo, n° 548 January 12 2017 L’imprévision dans la réforme des contrats, co-authored with Marc Fredj, Lexbase Hebdo, édition affaires n° 499 February 23 2017 A French Perspective: Mitigating Cyber Risks in M&A Deals, co-authored with Sandrine Cullaffroz-Jover, Focus Europe, January 2016  ",['mergers and acquisitions']
